node_id,self_trust,times_eligible,times_forwarded,times_dropped,is_malicious
0,0.5,0,0,0,0
1,0.87995,4,4,0,0
2,1,82,82,0,0
3,0.5,0,0,0,0
4,0.999721,21,21,0,0
5,0.5,0,0,0,0
6,0.5,0,0,0,0
7,0.5,0,0,0,0
8,0.5,0,0,0,0
9,0.5,0,0,0,0
10,0.87995,4,4,0,0
11,0.958823,7,7,0,0
12,0.5,0,0,0,0
13,0.87995,4,4,0,0
14,0.999601,20,20,0,0
15,0.998837,17,17,0,0
16,0.997626,15,15,0,0
17,0.999933,25,25,0,0
18,0.999994,32,32,0,0
19,0.755,2,2,0,0
20,0.8285,3,3,0,0
21,0.915965,5,5,0,0
22,0.996609,14,14,0,0
23,1,68,68,0,0
24,0.5,0,0,0,0
25,0.5,0,0,0,0
26,0.5,0,0,0,0
27,0.941176,6,6,0,0
28,1,88,88,0,0
29,1,52,52,0,0
30,0.998338,16,16,0,0
31,1,151,151,0,0
32,0.971176,8,8,0,0
33,0.999186,18,18,0,0
34,0.755,2,2,0,0
35,0.5,0,0,0,0
36,0.998338,16,16,0,0
37,0.999977,28,28,0,0
38,0.999601,20,20,0,0
39,0.5,0,0,0,0
40,0.999933,25,25,0,0
41,1,83,83,0,0
42,0.5,0,0,0,0
43,0.5,0,0,0,0
44,0.5,0,0,0,0
45,1,98,98,0,0
46,0.65,1,1,0,0
47,0.999967,27,27,0,0
48,1,53,53,0,0
49,0.999863,23,23,0,0
50,0.958823,7,7,0,0
51,0.5,0,0,0,0
52,0.5,0,0,0,0
53,0.65,1,1,0,0
54,0.941176,6,6,0,0
55,0.5,0,0,0,0
56,0.999994,32,32,0,0
57,0.985876,10,10,0,0
58,0.8285,3,3,0,0
59,0.5,0,0,0,0
60,0.985876,10,10,0,0
61,0.5,0,0,0,0
62,0.985876,10,10,0,0
63,0.99943,19,19,0,0
64,0.5,0,0,0,0
65,0.5,0,0,0,0
66,0.997626,15,15,0,0
67,0.5,0,0,0,0
68,0.997626,15,15,0,0
69,0.915965,5,5,0,0
70,0.8285,3,3,0,0
71,0.999863,23,23,0,0
72,0.5,0,0,0,0
73,0.5,0,0,0,0
74,1,190,190,0,0
75,0.65,1,1,0,0
76,0.915965,5,5,0,0
77,0.5,0,0,0,0
78,0.941176,6,6,0,0
79,0.5,0,0,0,0
80,0.5,0,0,0,0
81,0.5,0,0,0,0
82,0.941176,6,6,0,0
83,0.999977,28,28,0,0
84,0.958823,7,7,0,0
85,0.65,1,1,0,0
86,0.996609,14,14,0,0
87,0.755,2,2,0,0
88,0.65,1,1,0,0
89,0.5,0,0,0,0
90,0.5,0,0,0,0
91,0.5,0,0,0,0
92,0.5,0,0,0,0
93,0.5,0,0,0,0
94,0.999953,26,26,0,0
95,0.5,0,0,0,0
96,0.5,0,0,0,0
97,0.999601,20,20,0,0
98,0.5,0,0,0,0
99,0.5,0,0,0,0
