node_id,self_trust,times_eligible,times_forwarded,times_dropped,is_malicious
0,0.5,0,0,0,0
1,0.979823,9,9,0,0
2,1,58,58,0,0
3,0.5,0,0,0,0
4,0.5,0,0,0,0
5,0.755,2,2,0,0
6,0.5,0,0,0,0
7,0.915965,5,5,0,0
8,0.5,0,0,0,0
9,0.5,0,0,0,0
10,0.5,0,0,70,1
11,0.5,0,0,0,0
12,0.996609,14,14,0,0
13,0.5,0,0,0,0
14,0.755,2,2,0,0
15,0.5,0,0,7,1
16,0.5,0,0,0,0
17,0.999863,23,23,0,0
18,0.5,0,0,0,0
19,0.5,0,0,62,1
20,0.990113,11,11,0,0
21,0.5,0,0,0,0
22,0.5,0,0,5,1
23,0.5,0,0,0,0
24,0.65,1,1,0,0
25,0.5,0,0,0,0
26,0.8285,3,3,0,0
27,0.65,1,1,0,0
28,0.87995,4,4,0,0
29,0.5,0,0,0,0
30,1,52,52,0,0
31,0.5,0,0,42,1
32,0.5,0,0,0,0
33,0.5,0,0,0,0
34,0.5,0,0,6,1
35,0.65,1,1,0,0
36,0.941176,6,6,0,0
37,1,41,41,0,0
38,0.999805,22,22,0,0
39,0.65,1,1,0,0
40,0.65,1,1,0,0
41,0.5,0,0,0,0
42,1,40,40,0,0
43,0.5,0,0,34,1
44,0.87995,4,4,0,0
45,0.5,0,0,0,0
46,0.5,0,0,0,0
47,1,72,72,0,0
48,0.5,0,0,0,1
49,0.915965,5,5,0,0
50,0.5,0,0,0,0
51,1,148,148,0,0
52,0.99943,19,19,0,0
53,0.995156,13,13,0,0
54,0.5,0,0,25,1
55,1,43,43,0,0
56,0.999904,24,24,0,0
57,1,77,77,0,0
58,0.5,0,0,0,0
59,0.5,0,0,5,1
60,0.5,0,0,0,0
61,0.87995,4,4,0,0
62,0.5,0,0,5,1
63,0.979823,9,9,0,0
64,0.5,0,0,3,1
65,0.5,0,0,0,0
66,0.999721,21,21,0,0
67,0.5,0,0,0,0
68,0.5,0,0,0,1
69,0.997626,15,15,0,0
70,0.998837,17,17,0,0
71,1,44,44,0,0
72,0.5,0,0,0,0
73,1,41,41,0,0
74,0.5,0,0,35,1
75,0.985876,10,10,0,0
76,0.5,0,0,0,0
77,0.5,0,0,3,1
78,0.999904,24,24,0,0
79,0.5,0,0,0,0
80,0.999992,31,31,0,0
81,0.5,0,0,0,1
82,0.5,0,0,80,1
83,0.5,0,0,0,0
84,1,72,72,0,0
85,1,91,91,0,0
86,0.5,0,0,0,0
87,0.5,0,0,0,0
88,0.5,0,0,0,0
89,1,44,44,0,0
90,0.5,0,0,15,1
91,0.5,0,0,0,0
92,0.5,0,0,2,1
93,0.999863,23,23,0,0
94,1,46,46,0,0
95,0.915965,5,5,0,0
96,0.996609,14,14,0,0
97,0.5,0,0,0,1
98,0.5,0,0,0,0
99,0.915965,5,5,0,0
