node_id,self_trust,times_eligible,times_forwarded,times_dropped,is_malicious
0,0.5,0,0,0,0
1,0.5,0,0,0,1
2,0.5,0,0,0,0
3,0.5,0,0,38,1
4,0.999998,35,35,0,0
5,0.5,0,0,15,1
6,0.5,0,0,0,0
7,0.999999,37,37,0,0
8,0.941176,6,6,0,0
9,0.990113,11,11,0,0
10,1,50,50,0,0
11,0.5,0,0,11,1
12,0.999992,31,31,0,0
13,1,211,211,0,0
14,0.65,1,1,0,0
15,0.65,1,1,0,0
16,0.5,0,0,0,1
17,0.5,0,0,26,1
18,0.5,0,0,0,0
19,0.915965,5,5,0,0
20,0.999967,27,27,0,0
21,1,103,103,0,0
22,0.979823,9,9,0,0
23,0.999186,18,18,0,0
24,0.5,0,0,0,0
25,0.915965,5,5,0,0
26,0.5,0,0,0,1
27,0.5,0,0,189,1
28,0.5,0,0,0,0
29,0.5,0,0,0,0
30,0.999999,37,37,0,0
31,0.5,0,0,0,1
32,1,39,39,0,0
33,0.999721,21,21,0,0
34,1,56,56,0,0
35,0.5,0,0,0,1
36,0.999863,23,23,0,0
37,1,86,86,0,0
38,0.8285,3,3,0,0
39,0.993079,12,12,0,0
40,0.999999,38,38,0,0
41,0.979823,9,9,0,0
42,0.971176,8,8,0,0
43,0.993079,12,12,0,0
44,1,46,46,0,0
45,0.5,0,0,0,0
46,0.8285,3,3,0,0
47,1,171,171,0,0
48,0.999953,26,26,0,0
49,0.8285,3,3,0,0
50,0.5,0,0,0,0
51,0.5,0,0,59,1
52,0.8285,3,3,0,0
53,0.999989,30,30,0,0
54,1,39,39,0,0
55,1,130,130,0,0
56,0.5,0,0,7,1
57,0.985876,10,10,0,0
58,0.755,2,2,0,0
59,0.5,0,0,0,1
60,0.5,0,0,0,0
61,0.8285,3,3,0,0
62,0.5,0,0,0,0
63,0.5,0,0,0,0
64,0.915965,5,5,0,0
65,0.99943,19,19,0,0
66,0.5,0,0,0,0
67,0.999989,30,30,0,0
68,0.5,0,0,0,0
69,0.5,0,0,0,0
70,0.65,1,1,0,0
71,0.5,0,0,0,1
72,0.941176,6,6,0,0
73,0.5,0,0,11,1
74,0.999805,22,22,0,0
75,0.5,0,0,0,0
76,0.996609,14,14,0,0
77,0.999933,25,25,0,0
78,0.999999,36,36,0,0
79,0.5,0,0,0,0
80,0.5,0,0,0,1
81,0.985876,10,10,0,0
82,0.5,0,0,0,1
83,0.5,0,0,0,0
84,0.998338,16,16,0,0
85,0.5,0,0,88,1
86,0.5,0,0,0,0
87,0.5,0,0,0,0
88,0.5,0,0,0,0
89,0.990113,11,11,0,0
90,0.5,0,0,0,0
91,0.5,0,0,249,1
92,0.5,0,0,0,0
93,1,49,49,0,0
94,0.5,0,0,0,0
95,0.755,2,2,0,0
96,0.5,0,0,0,0
97,0.971176,8,8,0,0
98,0.99943,19,19,0,0
99,0.5,0,0,10,1
