node_id,self_trust,times_eligible,times_forwarded,times_dropped,is_malicious
0,0.5,0,0,0,0
1,0.5,0,0,0,1
2,0.5,0,0,61,1
3,0.5,0,0,43,1
4,0.997626,15,15,0,0
5,0.5,0,0,0,0
6,0.998837,17,17,0,0
7,0.65,1,1,0,0
8,0.999989,30,30,0,0
9,0.65,1,1,0,0
10,1,43,43,0,0
11,0.999994,32,32,0,0
12,0.755,2,2,0,0
13,1,92,92,0,0
14,0.995156,13,13,0,0
15,0.5,0,0,39,1
16,0.990113,11,11,0,0
17,0.999977,28,28,0,0
18,1,83,83,0,0
19,0.915965,5,5,0,0
20,0.998837,17,17,0,0
21,0.5,0,0,0,0
22,0.999989,30,30,0,0
23,1,68,68,0,0
24,1,177,177,0,0
25,1,41,41,0,0
26,0.5,0,0,29,1
27,0.993079,12,12,0,0
28,1,96,96,0,0
29,0.8285,3,3,0,0
30,0.5,0,0,0,0
31,0.999989,30,30,0,0
32,0.5,0,0,11,1
33,0.5,0,0,0,0
34,0.997626,15,15,0,0
35,0.999984,29,29,0,0
36,0.5,0,0,32,1
37,0.5,0,0,0,1
38,0.5,0,0,0,0
39,0.996609,14,14,0,0
40,0.999186,18,18,0,0
41,0.915965,5,5,0,0
42,0.755,2,2,0,0
43,0.999863,23,23,0,0
44,0.87995,4,4,0,0
45,0.979823,9,9,0,0
46,0.999186,18,18,0,0
47,0.5,0,0,0,1
48,0.999953,26,26,0,0
49,0.990113,11,11,0,0
50,0.5,0,0,0,0
51,0.5,0,0,0,0
52,1,46,46,0,0
53,0.990113,11,11,0,0
54,1,47,47,0,0
55,0.5,0,0,0,0
56,0.999953,26,26,0,0
57,0.5,0,0,0,1
58,0.5,0,0,0,0
59,1,76,76,0,0
60,0.999996,33,33,0,0
61,0.5,0,0,19,1
62,1,71,71,0,0
63,0.5,0,0,0,0
64,0.5,0,0,0,1
65,1,91,91,0,0
66,0.5,0,0,0,0
67,0.5,0,0,20,1
68,0.5,0,0,61,1
69,0.5,0,0,0,0
70,0.999998,35,35,0,0
71,0.971176,8,8,0,0
72,0.999953,26,26,0,0
73,1,44,44,0,0
74,0.999904,24,24,0,0
75,0.971176,8,8,0,0
76,0.915965,5,5,0,0
77,0.5,0,0,0,1
78,0.5,0,0,10,1
79,0.999721,21,21,0,0
80,0.979823,9,9,0,0
81,0.996609,14,14,0,0
82,0.998837,17,17,0,0
83,0.5,0,0,5,1
84,0.8285,3,3,0,0
85,0.5,0,0,0,0
86,1,56,56,0,0
87,0.990113,11,11,0,0
88,0.5,0,0,0,1
89,0.5,0,0,84,1
90,0.5,0,0,0,0
91,0.8285,3,3,0,0
92,0.5,0,0,0,0
93,1,50,50,0,0
94,0.5,0,0,0,1
95,0.958823,7,7,0,0
96,0.5,0,0,0,0
97,0.65,1,1,0,0
98,0.998338,16,16,0,0
99,1,72,72,0,0
