node_id,self_trust,times_eligible,times_forwarded,times_dropped,is_malicious
0,0.5,0,0,0,0
1,0.5,0,0,0,0
2,0.5,0,0,59,1
3,0.999984,29,29,0,0
4,0.5,0,0,0,1
5,1,142,142,0,0
6,0.5,0,0,0,0
7,0.5,0,0,0,1
8,0.993079,12,12,0,0
9,0.5,0,0,41,1
10,0.5,0,0,0,0
11,0.5,0,0,6,1
12,0.5,0,0,0,0
13,0.999992,31,31,0,0
14,0.5,0,0,3,1
15,0.995156,13,13,0,0
16,0.65,1,1,0,0
17,1,80,80,0,0
18,0.87995,4,4,0,0
19,0.5,0,0,13,1
20,0.999904,24,24,0,0
21,0.5,0,0,0,1
22,0.5,0,0,0,1
23,0.998837,17,17,0,0
24,0.5,0,0,0,1
25,0.5,0,0,0,0
26,0.5,0,0,0,0
27,0.5,0,0,0,1
28,0.5,0,0,18,1
29,0.5,0,0,0,1
30,0.5,0,0,14,1
31,0.998338,16,16,0,0
32,0.979823,9,9,0,0
33,0.5,0,0,0,1
34,1,40,40,0,0
35,0.5,0,0,62,1
36,1,40,40,0,0
37,0.958823,7,7,0,0
38,0.5,0,0,36,1
39,0.999904,24,24,0,0
40,0.999994,32,32,0,0
41,0.999186,18,18,0,0
42,0.999904,24,24,0,0
43,0.5,0,0,0,0
44,0.5,0,0,59,1
45,0.5,0,0,19,1
46,0.999967,27,27,0,0
47,0.5,0,0,0,1
48,0.999999,37,37,0,0
49,0.999999,37,37,0,0
50,0.5,0,0,35,1
51,0.995156,13,13,0,0
52,0.5,0,0,0,0
53,0.5,0,0,20,1
54,0.5,0,0,1,1
55,0.65,1,1,0,0
56,0.971176,8,8,0,0
57,0.5,0,0,0,1
58,0.990113,11,11,0,0
59,0.5,0,0,146,1
60,0.5,0,0,17,1
61,0.5,0,0,0,0
62,0.999933,25,25,0,0
63,0.5,0,0,2,1
64,0.999992,31,31,0,0
65,1,163,163,0,0
66,0.999999,38,38,0,0
67,0.985876,10,10,0,0
68,0.971176,8,8,0,0
69,0.8285,3,3,0,0
70,0.999186,18,18,0,0
71,0.5,0,0,0,1
72,0.5,0,0,0,0
73,0.5,0,0,34,1
74,1,73,73,0,0
75,0.999186,18,18,0,0
76,0.5,0,0,0,1
77,0.915965,5,5,0,0
78,0.5,0,0,0,1
79,0.5,0,0,45,1
80,0.990113,11,11,0,0
81,0.5,0,0,0,1
82,0.5,0,0,0,0
83,0.5,0,0,5,1
84,0.979823,9,9,0,0
85,0.5,0,0,0,1
86,1,106,106,0,0
87,0.995156,13,13,0,0
88,0.99943,19,19,0,0
89,0.8285,3,3,0,0
90,0.5,0,0,0,0
91,1,82,82,0,0
92,1,43,43,0,0
93,0.5,0,0,0,1
94,0.979823,9,9,0,0
95,0.5,0,0,0,0
96,0.5,0,0,8,1
97,0.5,0,0,21,1
98,0.5,0,0,34,1
99,0.5,0,0,2,1
