node_id,self_trust,times_eligible,times_forwarded,times_dropped,is_malicious
0,0.5,0,0,0,0
1,0.5,0,0,0,0
2,0.995156,13,13,0,0
3,0.999997,34,34,0,0
4,0.5,0,0,0,1
5,0.990113,11,11,0,0
6,1,63,63,0,0
7,0.5,0,0,0,0
8,0.999863,23,23,0,0
9,0.999992,31,31,0,0
10,0.5,0,0,0,0
11,0.5,0,0,65,1
12,0.5,0,0,20,1
13,0.971176,8,8,0,0
14,0.5,0,0,0,1
15,0.5,0,0,1,1
16,0.5,0,0,0,0
17,0.5,0,0,0,0
18,0.999904,24,24,0,0
19,1,43,43,0,0
20,0.5,0,0,16,1
21,0.985876,10,10,0,0
22,0.5,0,0,15,1
23,0.5,0,0,0,0
24,0.5,0,0,0,1
25,0.8285,3,3,0,0
26,0.5,0,0,11,1
27,1,64,64,0,0
28,0.5,0,0,24,1
29,1,42,42,0,0
30,0.5,0,0,0,0
31,0.958823,7,7,0,0
32,1,71,71,0,0
33,0.5,0,0,0,1
34,0.5,0,0,137,1
35,0.65,1,1,0,0
36,0.5,0,0,15,1
37,0.5,0,0,0,1
38,0.5,0,0,0,0
39,0.5,0,0,0,0
40,0.5,0,0,22,1
41,0.5,0,0,15,1
42,0.5,0,0,0,0
43,0.993079,12,12,0,0
44,0.5,0,0,0,0
45,0.5,0,0,16,1
46,0.5,0,0,0,0
47,0.5,0,0,0,1
48,0.5,0,0,10,1
49,0.5,0,0,0,0
50,0.5,0,0,0,1
51,0.65,1,1,0,0
52,1,40,40,0,0
53,0.5,0,0,0,0
54,0.5,0,0,0,0
55,0.999721,21,21,0,0
56,0.998837,17,17,0,0
57,0.5,0,0,0,1
58,0.999721,21,21,0,0
59,0.915965,5,5,0,0
60,0.999601,20,20,0,0
61,0.999997,34,34,0,0
62,0.5,0,0,8,1
63,0.998338,16,16,0,0
64,0.5,0,0,0,1
65,0.5,0,0,62,1
66,0.999984,29,29,0,0
67,1,39,39,0,0
68,0.5,0,0,8,1
69,0.5,0,0,0,1
70,0.5,0,0,0,0
71,0.5,0,0,1,1
72,0.5,0,0,18,1
73,0.997626,15,15,0,0
74,0.5,0,0,55,1
75,0.87995,4,4,0,0
76,0.5,0,0,71,1
77,1,67,67,0,0
78,0.5,0,0,5,1
79,0.5,0,0,10,1
80,0.5,0,0,10,1
81,0.5,0,0,0,0
82,1,94,94,0,0
83,0.999999,36,36,0,0
84,0.999999,38,38,0,0
85,0.5,0,0,0,1
86,0.5,0,0,29,1
87,1,46,46,0,0
88,0.5,0,0,7,1
89,0.5,0,0,0,1
90,0.755,2,2,0,0
91,0.5,0,0,0,0
92,0.5,0,0,21,1
93,0.5,0,0,0,0
94,0.5,0,0,0,0
95,1,54,54,0,0
96,0.998338,16,16,0,0
97,0.5,0,0,10,1
98,0.5,0,0,0,0
99,0.5,0,0,174,1
