node_id,self_trust,times_eligible,times_forwarded,times_dropped,is_malicious
0,0.5,0,0,0,0
1,0.5,0,0,0,0
2,0.5,0,0,0,0
3,0.5,0,0,0,1
4,0.5,0,0,0,0
5,0.5,0,0,0,0
6,0.999977,28,28,0,0
7,0.5,0,0,0,1
8,0.5,0,0,12,1
9,0.5,0,0,0,1
10,0.5,0,0,36,1
11,0.5,0,0,0,1
12,0.5,0,0,37,1
13,0.999992,31,31,0,0
14,0.5,0,0,0,0
15,0.971176,8,8,0,0
16,0.5,0,0,1,1
17,0.5,0,0,0,1
18,0.5,0,0,0,1
19,0.5,0,0,0,0
20,0.999998,35,35,0,0
21,0.999186,18,18,0,0
22,0.5,0,0,7,1
23,0.5,0,0,0,0
24,0.5,0,0,2,1
25,1,127,127,0,0
26,0.65,1,1,0,0
27,0.5,0,0,21,1
28,0.5,0,0,0,1
29,0.999999,38,38,0,0
30,0.999805,22,22,0,0
31,0.5,0,0,0,0
32,0.5,0,0,0,0
33,0.5,0,0,11,1
34,0.999997,34,34,0,0
35,0.998338,16,16,0,0
36,0.65,1,1,0,0
37,0.999984,29,29,0,0
38,0.5,0,0,66,1
39,0.5,0,0,0,0
40,0.5,0,0,0,1
41,1,72,72,0,0
42,0.5,0,0,102,1
43,1,125,125,0,0
44,0.8285,3,3,0,0
45,0.999863,23,23,0,0
46,1,49,49,0,0
47,1,43,43,0,0
48,0.999999,37,37,0,0
49,0.5,0,0,6,1
50,0.5,0,0,48,1
51,0.5,0,0,0,0
52,0.999863,23,23,0,0
53,0.5,0,0,0,1
54,0.87995,4,4,0,0
55,0.958823,7,7,0,0
56,0.5,0,0,4,1
57,0.958823,7,7,0,0
58,0.5,0,0,44,1
59,0.941176,6,6,0,0
60,0.87995,4,4,0,0
61,0.5,0,0,0,1
62,0.5,0,0,0,1
63,0.5,0,0,0,0
64,0.87995,4,4,0,0
65,0.997626,15,15,0,0
66,0.5,0,0,0,0
67,0.5,0,0,0,1
68,0.5,0,0,0,1
69,0.971176,8,8,0,0
70,0.5,0,0,36,1
71,0.5,0,0,0,0
72,0.5,0,0,27,1
73,0.995156,13,13,0,0
74,1,77,77,0,0
75,0.971176,8,8,0,0
76,0.5,0,0,0,1
77,0.5,0,0,0,1
78,0.5,0,0,0,0
79,0.979823,9,9,0,0
80,0.941176,6,6,0,0
81,0.5,0,0,0,0
82,0.5,0,0,37,1
83,0.5,0,0,0,1
84,0.999933,25,25,0,0
85,0.5,0,0,17,1
86,0.5,0,0,2,1
87,0.5,0,0,12,1
88,0.5,0,0,4,1
89,0.5,0,0,46,1
90,0.5,0,0,30,1
91,0.999953,26,26,0,0
92,0.5,0,0,0,1
93,1,88,88,0,0
94,0.5,0,0,0,0
95,0.5,0,0,0,0
96,0.5,0,0,0,0
97,0.996609,14,14,0,0
98,0.87995,4,4,0,0
99,0.985876,10,10,0,0
